study_hours,attendance,internal_marks,practice_hours,performance
0.0,70.21,50,3.0,Poor
3.7,73.39,54,2.8,Average
5.98,77.33,68,2.1,Good
4.32,76.21,74,2.1,Average
4.59,94.84,87,3.88,Good
3.05,75.87,47,0.92,Poor
3.13,83.37,80,3.25,Average
3.74,84.21,69,1.11,Average
0.2,46.46,51,0.4,Poor
0.87,64.66,37,0.62,Poor
2.83,92.67,77,2.01,Average
6.02,82.91,84,4.47,Good
5.98,96.95,70,3.91,Good
6.32,91.98,75,3.05,Good
2.8,83.12,70,2.15,Average
4.29,95.04,85,2.97,Good
1.14,70.37,44,1.47,Poor
4.92,85.94,82,2.38,Good
0.99,69.36,52,2.23,Poor
1.34,73.54,50,0.66,Poor
2.6,74.17,54,3.14,Average
2.24,77.92,74,1.52,Average
6.95,83.33,84,2.13,Good
0.96,69.56,52,1.25,Poor
2.45,45.51,55,0.73,Poor
4.24,72.67,69,1.8,Average
1.91,76.52,47,1.55,Poor
1.07,60.19,49,0.73,Poor
4.75,81.18,76,3.66,Good
0.91,67.01,38,1.65,Poor
2.5,87.75,55,2.61,Average
1.1,80.54,55,0.0,Poor
5.81,95.46,91,4.42,Good
3.61,72.19,59,3.13,Average
2.16,76.04,69,2.71,Average
7.29,93.31,79,4.16,Good
3.15,93.49,61,4.25,Good
4.72,91.46,81,4.63,Good
0.87,64.91,32,1.55,Poor
5.0,92.72,85,5.31,Good
0.66,61.5,52,0.92,Poor
2.15,53.37,47,1.45,Poor
1.23,51.68,36,1.01,Poor
3.05,83.37,89,1.59,Average
3.2,88.54,82,4.03,Good
1.78,52.92,37,0.18,Poor
4.54,91.85,77,4.34,Good
3.0,91.17,83,2.61,Average
1.55,64.64,48,1.15,Poor
4.03,85.72,64,4.35,Good
2.51,86.9,42,1.57,Poor
2.17,99.99,45,1.81,Average
5.86,88.29,75,4.15,Good
2.65,70.62,65,1.56,Average
3.27,100.0,76,4.02,Good
2.13,61.92,40,1.19,Poor
1.93,84.46,80,2.91,Average
6.89,90.19,75,4.1,Good
3.02,79.84,61,3.05,Average
1.75,64.71,50,0.0,Poor
3.11,71.92,25,1.16,Poor
1.24,78.25,60,2.49,Average
2.94,78.02,60,3.01,Average
1.01,57.98,46,1.36,Poor
5.69,80.14,85,5.56,Good
1.37,78.73,41,0.72,Poor
3.95,87.96,77,5.43,Good
6.03,84.71,91,2.29,Good
5.6,90.8,78,4.22,Good
4.96,85.55,90,4.01,Good
1.96,60.11,30,0.0,Poor
3.65,71.36,73,3.27,Average
4.28,88.94,82,5.26,Good
2.09,77.26,41,0.66,Poor
2.99,91.67,69,0.5,Average
5.55,86.3,82,3.96,Good
0.88,71.01,29,0.12,Poor
1.48,65.86,59,0.93,Poor
1.52,58.91,54,0.12,Poor
3.13,74.45,55,0.1,Poor
2.3,65.43,70,2.91,Average
2.35,78.97,63,4.05,Average
1.96,63.89,51,1.54,Poor
5.12,90.99,75,4.25,Good
4.31,86.86,69,3.35,Good
3.66,91.78,79,4.81,Good
4.21,90.48,82,2.22,Average
4.15,99.74,93,2.76,Good
3.16,81.59,62,4.04,Average
4.5,84.23,76,3.69,Good
3.84,75.31,74,2.82,Average
3.94,75.59,44,2.58,Average
2.26,59.93,19,1.11,Poor
1.23,80.91,31,1.34,Poor
6.16,93.62,75,2.95,Good
2.55,86.16,65,2.77,Average
2.0,77.86,60,0.98,Average
0.97,43.88,56,0.6,Poor
5.86,77.74,79,3.7,Good
3.65,79.78,66,4.17,Average
4.55,88.84,94,3.45,Good
4.59,91.14,86,4.84,Good
2.14,84.36,49,2.0,Average
2.41,86.51,81,1.3,Average
1.2,80.13,69,0.66,Poor
3.1,76.09,67,1.97,Average
5.99,86.26,90,3.78,Good
5.27,81.06,64,5.49,Good
5.25,89.81,73,3.76,Good
4.3,97.66,74,2.92,Good
4.88,89.27,89,3.76,Good
5.0,92.79,85,4.48,Good
4.91,95.63,88,5.69,Good
2.75,70.44,87,2.52,Average
5.73,100.0,65,3.36,Good
5.77,84.74,89,5.66,Good
1.88,85.29,50,0.55,Poor
4.08,85.25,85,3.81,Good
0.69,72.98,73,3.63,Average
4.5,88.54,73,3.55,Good
2.53,56.09,62,0.65,Poor
1.77,89.67,68,2.42,Average
4.31,93.08,78,4.78,Good
4.01,80.48,65,2.18,Average
6.39,78.4,73,5.42,Good
7.25,93.27,79,4.56,Good
4.54,90.74,84,2.59,Good
4.83,87.33,91,4.33,Good
0.5,58.44,35,0.68,Poor
2.89,53.84,38,0.3,Poor
5.84,92.13,72,6.17,Good
2.92,71.26,72,2.19,Average
4.29,94.45,76,1.72,Good
2.12,73.72,53,0.5,Poor
3.73,73.47,73,1.14,Average
2.2,58.6,35,1.14,Poor
2.15,63.77,26,0.3,Poor
5.86,95.14,71,4.37,Good
1.22,71.36,54,1.23,Poor
2.19,88.15,70,1.97,Average
4.98,90.07,86,3.72,Good
1.89,80.61,88,1.91,Average
3.72,68.28,77,2.75,Average
4.3,72.28,59,0.78,Average
3.26,91.63,67,3.06,Good
3.7,91.44,81,5.03,Good
4.66,96.16,70,2.26,Good
1.41,48.93,36,0.0,Poor
6.22,91.91,80,3.65,Good
2.13,88.07,57,2.06,Average
4.11,93.23,89,5.0,Good
1.98,49.63,22,1.21,Poor
1.33,68.34,59,0.95,Poor
4.02,76.03,69,3.81,Average
1.66,61.15,51,1.23,Poor
4.47,94.46,76,4.89,Good
1.04,55.08,53,1.23,Poor
5.21,99.79,82,4.6,Good
2.02,94.66,67,2.92,Average
3.33,87.07,73,4.17,Good
1.36,93.41,68,3.44,Average
5.3,98.13,79,3.88,Good
3.46,100.0,68,3.53,Good
2.04,65.0,54,0.28,Poor
1.4,63.77,57,1.04,Poor
1.22,55.9,51,0.21,Poor
0.92,66.59,27,0.71,Poor
1.03,55.06,32,1.66,Poor
0.58,72.19,57,0.31,Poor
5.57,87.39,86,3.03,Good
4.19,88.92,77,4.81,Good
3.59,90.43,49,2.11,Average
2.05,83.49,74,4.17,Average
1.8,63.03,52,0.96,Poor
1.79,87.23,61,3.3,Average
1.08,83.4,43,0.43,Poor
1.47,51.96,25,1.21,Poor
1.81,79.61,87,2.57,Average
2.65,79.79,67,3.15,Average
2.35,59.09,35,1.65,Poor
4.06,87.86,78,4.21,Good
5.27,93.28,81,4.84,Good
1.42,74.33,41,0.67,Poor
1.39,54.49,36,1.15,Poor
5.79,80.69,64,3.22,Good
1.3,71.6,64,1.26,Average
1.46,65.33,32,0.84,Poor
1.7,45.22,49,0.32,Poor
1.17,54.29,63,1.25,Poor
3.59,79.69,70,1.24,Average
5.38,87.5,74,3.2,Good
2.1,55.66,53,1.34,Poor
3.48,71.12,58,3.31,Average
5.21,88.63,81,4.5,Good
5.22,88.19,79,1.72,Good
5.38,88.14,97,1.47,Good
5.45,87.55,90,5.01,Good
3.48,80.04,82,3.63,Average
4.61,93.89,81,3.29,Good
5.65,92.69,72,4.19,Good
1.59,63.29,39,0.31,Poor
1.12,74.91,44,1.6,Poor
4.2,98.52,76,4.38,Good
6.09,93.9,85,5.04,Good
5.78,84.51,81,3.56,Good
7.18,89.15,90,3.61,Good
4.21,71.52,89,1.58,Average
1.26,62.28,52,1.89,Poor
2.3,61.76,38,0.38,Poor
3.97,73.92,72,3.35,Average
5.51,88.62,81,3.38,Good
5.91,91.28,81,4.62,Good
2.09,62.12,72,3.03,Average
1.04,56.96,48,1.96,Poor
3.67,74.52,59,1.71,Average
4.11,74.96,65,1.51,Average
3.44,95.47,93,4.67,Good
1.79,53.57,41,1.0,Poor
1.83,75.18,40,0.95,Poor
5.94,90.93,71,5.28,Good
3.81,77.84,70,1.78,Average
0.75,66.76,26,2.16,Poor
6.18,90.94,94,2.75,Good
3.89,88.33,54,2.01,Average
0.49,61.76,46,1.59,Poor
2.85,79.63,81,2.1,Average
2.35,86.5,50,0.91,Average
1.27,81.03,50,0.56,Poor
2.06,37.25,55,0.64,Poor
2.77,86.78,44,2.01,Average
6.5,90.05,86,6.23,Good
5.12,94.05,100,3.69,Good
4.66,87.16,74,3.95,Good
3.91,82.71,93,4.16,Good
0.47,75.22,24,1.23,Poor
0.89,49.27,56,1.22,Poor
1.97,66.33,54,0.97,Poor
2.3,89.87,82,2.82,Average
0.75,74.65,63,0.51,Poor
4.0,73.66,73,3.16,Average
3.19,71.73,56,1.91,Average
2.22,47.14,41,0.62,Poor
4.0,93.22,81,3.09,Good
3.36,77.36,46,0.98,Poor
4.97,91.88,79,3.59,Good
0.93,63.62,33,0.0,Poor
3.82,79.18,67,3.99,Average
2.53,56.96,44,1.35,Poor
3.25,96.62,82,5.46,Good
1.55,72.7,67,2.52,Average
1.73,67.22,41,1.18,Poor
0.95,70.23,47,0.34,Poor
2.61,88.73,44,1.34,Poor
2.55,78.39,66,5.0,Average
1.97,73.35,55,1.75,Average
1.37,71.47,68,2.86,Average
4.23,77.86,81,5.48,Good
5.09,89.5,74,4.21,Good
1.78,63.08,55,0.0,Poor
2.33,73.46,43,1.26,Poor
3.3,82.49,77,2.41,Average
3.14,66.2,60,1.63,Poor
1.94,93.06,48,1.83,Average
2.63,78.25,60,3.36,Average
5.07,90.53,79,5.04,Good
2.03,81.94,53,3.26,Average
1.42,68.55,15,1.28,Poor
4.03,82.45,82,4.41,Good
2.59,80.45,57,2.24,Average
3.77,89.57,77,3.94,Good
3.59,79.76,69,2.82,Average
1.89,62.48,61,1.42,Poor
2.04,90.0,52,2.76,Average
3.92,95.93,84,3.25,Good
4.78,100.0,78,3.14,Good
7.13,94.91,84,3.24,Good
6.06,88.38,83,5.61,Good
2.55,78.06,82,2.24,Average
5.21,96.31,84,4.87,Good
0.72,57.41,28,1.47,Poor
3.53,57.33,66,1.74,Average
3.68,73.86,61,2.5,Average
2.61,80.75,46,2.31,Average
5.55,94.56,69,5.44,Good
6.02,87.58,89,4.4,Good
5.68,87.09,73,3.12,Good
1.17,68.84,55,1.28,Poor
3.3,79.25,66,1.44,Average
4.69,89.16,79,4.6,Good
4.15,84.75,75,5.27,Good
4.87,88.45,81,4.64,Good
6.0,92.43,79,2.68,Good
4.73,95.19,85,2.53,Good
3.9,88.11,80,4.64,Good
3.82,78.39,66,3.16,Average
1.94,76.43,52,2.54,Average
2.29,80.6,55,2.36,Average
3.28,96.94,77,3.69,Good
4.88,93.25,66,4.31,Good
3.97,93.48,87,3.28,Good
4.56,85.4,84,4.13,Good
2.63,94.39,82,1.01,Average
3.45,77.72,61,2.82,Average
3.19,95.14,65,1.01,Average
6.46,99.04,87,2.9,Good
1.44,55.04,53,0.96,Poor
1.65,44.97,32,0.78,Poor
0.01,66.07,60,1.8,Poor
3.06,83.3,71,2.64,Average
1.97,75.31,63,3.35,Average
4.95,92.77,79,4.25,Good
3.87,86.07,79,4.16,Average
4.25,88.34,83,4.73,Good
5.31,87.45,75,4.78,Good
2.5,62.96,58,2.57,Average
2.73,79.89,61,4.26,Average
2.58,56.75,31,1.42,Poor
3.2,83.63,61,3.23,Average
6.92,88.45,74,2.69,Good
1.94,62.1,29,1.83,Poor
4.88,84.91,78,4.47,Good
4.97,83.72,57,2.97,Average
2.64,94.94,87,3.41,Good
5.65,85.42,78,5.53,Good
1.86,48.32,40,1.69,Poor
2.36,84.46,56,3.62,Average
5.35,91.45,80,4.96,Good
2.31,85.07,65,3.84,Average
2.93,74.53,40,0.18,Poor
2.63,82.08,78,3.32,Average
5.09,87.75,82,4.03,Good
4.16,85.06,53,2.36,Average
2.63,38.07,38,0.53,Poor
3.15,76.08,63,1.96,Average
4.78,93.35,80,6.18,Good
4.19,94.03,88,3.27,Good
1.39,69.27,46,0.0,Poor
3.38,88.23,73,1.21,Average
3.81,76.78,85,2.67,Average
1.1,70.26,49,0.0,Poor
6.51,86.78,74,3.94,Good
1.94,67.0,44,0.0,Poor
3.16,89.83,81,4.54,Good
4.69,82.78,84,6.03,Good
2.59,75.29,31,0.0,Poor
4.13,88.1,74,3.68,Average
2.33,79.86,63,1.54,Average
1.4,53.22,35,0.83,Poor
2.12,84.62,70,1.82,Poor
4.67,98.5,67,5.46,Good
5.85,95.34,82,4.8,Good
6.24,83.02,91,3.12,Good
4.77,85.67,77,3.12,Good
5.19,89.33,71,4.7,Good
3.52,81.53,59,1.42,Average
2.69,56.02,32,1.25,Poor
5.28,90.19,84,2.75,Good
4.15,86.17,76,4.3,Average
6.05,86.57,81,4.32,Good
3.21,90.55,74,2.24,Average
2.19,71.61,33,1.49,Poor
6.03,84.28,92,4.8,Good
0.38,83.22,26,1.04,Poor
2.18,80.28,65,0.78,Average
1.99,81.51,63,1.04,Average
3.45,61.92,85,2.94,Average
4.46,91.98,84,2.52,Good
1.85,73.91,84,2.02,Average
0.66,62.89,57,1.1,Poor
5.44,98.7,72,4.65,Good
2.89,57.8,57,1.54,Poor
5.38,90.27,72,4.9,Good
1.58,72.94,50,0.89,Poor
1.73,59.27,60,1.09,Poor
2.19,69.42,69,2.98,Average
4.88,88.54,87,3.64,Good
1.9,56.37,36,0.72,Poor
5.37,88.02,83,3.84,Good
5.02,84.52,80,2.21,Good
2.5,71.92,31,0.15,Poor
2.51,77.16,67,2.28,Average
3.28,75.32,54,2.71,Average
3.58,74.46,65,4.27,Average
2.29,72.77,77,2.31,Average
0.95,72.53,48,0.91,Poor
1.7,83.68,46,3.68,Average
3.82,67.47,71,2.61,Average
3.68,72.36,72,1.35,Average
1.21,64.7,51,0.18,Poor
5.16,86.64,81,3.89,Good
3.64,95.68,84,2.47,Good
4.08,79.65,83,3.31,Good
3.47,80.23,72,4.48,Average
0.8,65.66,47,1.62,Poor
3.38,86.79,58,4.62,Average
2.6,73.49,62,2.35,Average
5.82,90.35,68,3.6,Good
0.06,66.67,41,1.34,Poor
1.79,63.08,57,2.04,Poor
3.79,90.14,90,2.84,Good
2.82,87.35,59,2.65,Average
5.47,90.59,90,2.75,Good
0.89,62.23,44,0.45,Poor
4.92,93.64,94,2.8,Good
2.17,51.44,48,0.04,Poor
6.03,90.31,93,5.22,Good
1.08,57.69,45,0.0,Poor
0.56,64.92,39,2.1,Poor
5.65,87.73,91,3.93,Good
4.55,86.72,78,5.27,Good
3.08,60.88,85,3.74,Average
2.16,80.01,81,2.32,Average
2.24,86.08,32,0.72,Poor
4.78,96.49,82,3.6,Good
1.87,53.56,50,0.0,Poor
3.01,95.21,89,3.62,Good
3.38,82.14,69,3.47,Average
3.12,73.08,65,1.69,Average
2.86,70.83,65,4.33,Average
4.87,100.0,66,3.58,Good
3.91,80.89,62,2.86,Average
2.9,79.75,46,3.25,Average
3.66,74.32,65,3.86,Average
1.81,77.98,85,3.32,Average
3.84,75.79,68,2.45,Average
3.73,88.6,78,1.02,Good
4.78,86.81,66,4.51,Good
4.36,92.27,82,3.89,Good
3.6,88.76,59,4.22,Average
1.38,60.05,19,1.33,Poor
4.12,92.15,90,4.05,Good
5.16,84.76,68,3.34,Average
6.19,93.18,80,1.91,Good
4.6,81.36,63,2.34,Average
3.94,93.21,55,1.0,Average
1.42,52.06,37,0.77,Poor
2.46,87.24,54,2.49,Average
2.11,88.71,65,1.97,Average
1.92,44.22,39,0.34,Poor
2.69,78.85,30,2.04,Poor
1.78,70.3,41,0.9,Poor
2.27,91.07,50,2.52,Average
3.72,94.24,75,3.97,Good
4.04,93.13,82,3.56,Good
3.51,78.91,65,1.86,Average
4.3,95.38,83,4.13,Good
1.83,78.55,50,1.4,Poor
4.29,71.48,64,2.88,Average
4.52,96.04,84,3.92,Good
1.79,67.51,72,2.05,Average
1.18,46.18,47,1.3,Poor
2.16,85.17,63,3.93,Average
4.12,96.13,70,3.51,Good
1.33,71.32,38,2.9,Poor
3.03,73.23,54,3.11,Average
4.64,78.69,82,4.56,Good
0.0,86.38,52,0.86,Poor
0.84,74.59,48,0.3,Poor
1.86,100.0,67,2.03,Average
5.3,91.16,81,5.02,Good
2.58,74.1,75,2.51,Average
4.24,72.9,60,3.01,Average
3.72,85.44,81,1.0,Average
0.75,70.65,31,0.52,Poor
5.67,85.38,88,3.59,Good
3.83,85.59,66,2.97,Average
2.02,92.58,61,0.79,Average
5.62,95.28,79,2.55,Good
0.74,57.31,36,1.69,Poor
1.25,78.25,59,4.04,Average
1.23,79.58,28,1.18,Poor
2.57,88.12,67,2.13,Average
0.67,78.86,64,3.55,Average
1.31,58.56,41,0.67,Poor
0.75,70.04,37,1.24,Poor
3.09,78.59,96,2.62,Good
2.38,54.61,42,1.93,Poor
5.38,97.35,81,4.42,Good
5.44,85.68,76,5.3,Good
1.92,64.04,68,2.16,Poor
4.34,84.53,72,2.19,Good
1.64,74.77,25,1.26,Poor
1.95,74.04,22,1.79,Poor
6.67,91.78,76,2.98,Good
3.45,83.82,52,1.36,Average
3.75,78.5,81,3.07,Average
0.3,65.17,63,0.0,Poor
2.21,93.4,62,1.33,Average
0.28,86.52,51,1.44,Poor
2.35,62.9,57,0.87,Poor
3.17,76.46,41,0.2,Poor
3.58,95.87,81,2.21,Average
6.09,88.13,74,3.67,Good
1.54,59.37,53,0.35,Poor
3.58,71.67,54,3.47,Average
1.88,88.94,75,3.12,Average
4.82,98.9,79,1.96,Good
4.4,96.82,93,3.9,Good
3.08,52.55,43,0.43,Poor
2.6,73.49,79,3.07,Average
2.53,88.13,78,2.15,Average
6.65,87.45,68,4.36,Good
3.93,91.48,69,1.45,Average
4.98,95.21,69,4.48,Good
1.5,63.01,55,1.21,Poor
5.09,87.27,78,3.6,Good
1.0,48.19,57,0.22,Poor
2.19,68.21,56,1.5,Poor
3.73,73.27,75,3.28,Average
0.0,66.07,37,1.67,Poor
3.57,71.44,70,1.58,Average
5.07,87.23,69,3.64,Good
7.3,93.57,72,2.98,Good
2.44,76.53,55,1.88,Average
1.09,71.17,46,0.92,Poor
4.78,97.28,83,2.23,Good
4.98,87.79,80,3.81,Good
4.17,88.18,84,4.41,Good
4.37,88.18,69,3.93,Average
3.18,83.33,54,3.08,Average
3.5,78.26,53,1.14,Average
0.92,64.86,33,0.86,Poor
4.61,91.51,85,4.02,Good
3.97,85.53,91,5.11,Good
0.66,62.02,52,1.11,Poor
1.15,65.76,49,0.65,Poor
4.73,85.05,68,2.49,Average
1.7,76.3,26,2.02,Poor
3.66,77.96,59,2.34,Average
4.19,97.83,83,4.35,Good
2.42,75.25,51,0.0,Poor
3.19,85.48,90,4.66,Good
2.23,77.78,50,0.73,Poor
0.38,42.42,52,0.0,Poor
3.1,75.7,46,1.4,Poor
5.88,86.83,81,4.17,Good
2.37,71.97,52,1.15,Poor
2.88,80.92,81,2.13,Average
5.16,98.84,83,5.86,Good
2.5,83.82,82,2.16,Average
1.53,85.47,49,1.53,Poor
2.44,59.74,34,1.11,Poor
5.24,91.07,83,3.51,Good
0.86,61.98,53,1.27,Poor
4.95,99.72,82,4.68,Good
2.09,67.65,34,0.39,Poor
1.27,83.34,92,3.81,Average
5.07,88.9,82,4.25,Good
6.62,100.0,95,4.74,Good
4.23,93.08,86,4.33,Good
1.43,91.83,51,4.49,Average
0.15,40.83,32,1.1,Poor
1.28,37.62,48,0.45,Poor
3.86,71.58,54,2.46,Average
2.45,68.13,13,1.43,Poor
1.02,86.63,74,2.66,Average
1.18,53.41,37,0.34,Poor
4.01,73.42,62,1.14,Average
1.21,51.62,41,0.64,Poor
1.08,70.42,61,0.94,Poor
3.8,77.17,58,4.19,Average
5.28,86.24,76,3.96,Good
5.27,86.16,99,4.38,Good
2.14,78.88,61,1.84,Average
6.14,82.71,77,4.5,Good
5.44,83.26,80,4.63,Good
3.18,77.04,64,2.08,Average
1.36,49.12,42,2.07,Poor
3.58,70.59,72,3.29,Average
3.09,76.84,47,2.78,Average
4.23,81.91,69,3.05,Average
0.79,71.98,68,1.02,Poor
2.61,56.34,27,2.42,Poor
5.49,86.7,73,5.46,Good
0.66,55.92,51,1.97,Poor
3.74,85.04,86,4.19,Good
1.73,68.6,53,0.79,Poor
2.09,52.63,34,1.28,Poor
1.61,79.06,63,3.18,Average
3.5,90.31,57,2.49,Average
2.39,79.25,79,3.38,Average
4.19,77.11,94,2.9,Good
1.26,80.1,61,0.79,Average
3.83,94.21,68,4.16,Good
2.52,93.88,78,3.56,Good
1.84,81.28,62,4.14,Average
0.98,82.33,44,1.39,Poor
2.48,79.07,62,2.32,Average
5.4,91.54,89,3.53,Good
0.48,63.95,44,0.0,Poor
1.1,64.82,58,0.0,Poor
3.02,83.34,81,3.37,Average
1.22,71.33,28,1.31,Poor
2.14,75.71,68,1.36,Poor
4.74,84.33,72,3.68,Good
2.1,76.37,66,2.99,Average
1.4,59.76,22,1.11,Poor
2.49,71.84,64,0.5,Average
1.5,71.92,50,0.22,Poor
2.6,79.5,74,2.72,Average
0.52,72.52,35,2.69,Poor
2.12,82.69,43,0.5,Average
1.36,79.67,51,1.4,Poor
2.51,60.31,37,1.71,Poor
2.43,81.14,67,2.99,Average
2.27,72.52,61,1.65,Poor
5.4,98.23,85,3.1,Good
3.57,73.78,67,2.72,Average
1.15,70.71,46,1.1,Poor
2.08,69.27,40,1.06,Poor
5.04,89.11,70,1.6,Good
1.4,42.88,32,1.63,Poor
5.24,85.83,83,5.48,Good
4.65,81.12,73,1.22,Average
1.85,77.57,50,0.63,Poor
3.21,84.75,68,2.69,Average
6.34,91.16,81,3.51,Good
3.13,81.42,54,2.02,Average
1.29,75.39,50,1.68,Poor
0.82,71.6,41,1.12,Poor
5.01,90.88,100,2.29,Good
2.92,75.03,48,2.34,Average
0.79,58.91,45,1.41,Poor
1.87,81.48,48,1.12,Poor
5.67,77.49,86,4.18,Good
2.61,80.54,71,0.5,Average
0.0,64.42,53,0.38,Poor
2.25,69.86,33,0.88,Poor
1.33,53.55,39,1.85,Poor
4.7,89.85,63,4.62,Good
5.82,90.6,79,3.82,Good
3.76,88.11,87,2.71,Good
3.58,91.92,60,1.26,Average
3.16,83.39,77,2.58,Good
3.98,72.73,62,1.71,Average
1.84,87.67,56,1.36,Average
4.04,64.3,65,1.97,Average
7.11,83.54,76,6.28,Good
6.84,92.57,77,2.59,Good
4.63,76.18,64,1.83,Average
3.05,93.81,84,2.37,Good
1.05,61.86,52,1.45,Poor
1.99,76.99,53,2.8,Average
3.92,87.57,73,0.5,Average
2.2,65.68,44,1.77,Poor
4.96,87.76,70,3.69,Good
0.0,56.19,22,1.66,Poor
1.82,58.4,64,0.6,Poor
2.65,70.36,55,0.0,Poor
0.54,75.46,24,1.59,Poor
1.18,50.43,37,0.88,Poor
5.15,91.91,76,4.82,Good
4.64,92.41,58,4.49,Average
5.72,87.71,88,5.66,Good
3.72,87.79,79,1.88,Average
2.82,83.58,67,2.19,Average
6.74,85.73,76,3.79,Good
1.82,87.96,64,1.48,Poor
3.94,91.07,76,3.77,Good
3.78,87.44,64,3.09,Average
2.19,70.53,50,4.24,Average
3.99,84.25,69,2.72,Good
5.0,99.47,85,5.09,Good
4.04,82.81,83,3.93,Good
2.69,86.26,70,1.91,Average
2.27,72.29,65,3.19,Average
2.29,91.42,88,3.96,Good
0.4,56.35,50,1.98,Poor
1.65,74.83,67,1.83,Average
4.77,90.75,79,4.43,Good
5.86,90.31,83,4.3,Good
1.67,54.65,28,0.75,Poor
3.38,80.31,21,0.47,Poor
1.73,71.89,24,0.29,Poor
3.04,82.77,78,3.44,Average
1.71,74.72,39,0.98,Poor
3.3,71.35,74,3.2,Average
4.98,97.42,82,3.86,Good
0.66,56.56,53,0.01,Poor
3.66,88.58,76,1.43,Average
2.43,69.52,27,1.25,Poor
0.5,80.01,41,3.08,Average
3.18,70.89,63,1.07,Average
0.0,90.0,52,1.28,Poor
5.62,76.57,69,5.32,Good
1.47,56.47,34,1.28,Poor
3.08,90.57,49,1.76,Average
1.91,78.16,70,1.16,Average
5.48,92.06,99,2.4,Good
3.97,88.63,88,4.21,Good
5.07,92.92,81,4.41,Good
2.14,72.32,23,0.0,Poor
3.47,90.27,78,3.59,Good
4.49,89.62,91,4.62,Good
2.56,78.85,46,2.5,Average
3.75,78.46,76,3.5,Average
0.0,57.26,41,1.83,Poor
0.09,54.55,69,1.09,Poor
5.05,83.96,81,4.66,Good
0.47,62.52,61,0.68,Poor
2.46,64.69,39,1.45,Poor
3.1,59.58,81,1.26,Average
1.05,63.31,47,1.45,Poor
2.98,88.81,63,2.9,Average
5.0,86.63,87,5.11,Good
2.13,64.28,38,0.2,Poor
3.71,100.0,75,3.89,Good
3.91,92.97,73,3.78,Good
2.01,87.02,21,0.97,Poor
3.89,80.2,68,2.26,Average
0.34,82.08,38,0.58,Poor
1.23,66.75,53,0.71,Poor
1.34,65.96,31,1.37,Poor
5.31,81.07,81,1.47,Average
1.86,79.52,58,0.39,Poor
2.76,84.77,86,2.08,Average
1.66,72.36,58,1.39,Poor
3.25,77.94,82,3.08,Average
1.45,67.66,40,0.35,Poor
5.29,95.26,79,4.54,Good
2.11,72.15,70,3.44,Average
2.32,87.47,46,1.85,Poor
5.14,73.48,81,2.81,Average
2.31,56.37,61,0.54,Poor
5.83,88.24,80,3.8,Good
0.49,64.87,49,2.61,Poor
1.19,63.63,63,1.57,Poor
1.52,69.69,24,0.87,Poor
2.46,86.11,55,2.46,Average
1.19,79.92,58,2.52,Average
3.62,87.04,74,1.77,Average
1.56,54.43,38,0.33,Poor
1.39,88.27,65,2.6,Average
1.89,69.72,41,1.36,Poor
4.79,85.72,83,2.48,Good
4.3,86.21,72,1.03,Average
3.59,88.8,74,2.38,Average
1.97,75.02,74,4.2,Average
4.74,93.88,92,4.86,Good
5.93,80.48,89,2.17,Good
4.23,86.75,91,4.4,Good
1.76,62.27,60,1.71,Poor
1.92,75.36,45,1.44,Poor
2.0,61.88,36,0.6,Poor
1.3,59.29,44,2.0,Poor
6.73,88.23,74,6.54,Good
1.26,71.91,51,1.2,Poor
3.67,84.21,46,2.06,Average
2.48,66.13,41,0.54,Poor
1.15,62.41,55,2.55,Poor
2.67,76.73,72,3.62,Average
3.65,94.72,78,4.53,Good
2.02,63.04,46,1.46,Poor
0.97,60.17,41,1.29,Poor
1.73,85.61,59,0.66,Poor
6.05,92.07,88,3.31,Good
3.43,72.34,59,3.17,Average
1.72,83.23,68,3.94,Average
1.66,85.28,61,0.5,Average
3.32,77.59,61,2.68,Average
4.88,80.33,59,3.09,Average
1.78,70.49,62,0.98,Poor
2.35,84.92,73,3.3,Average
5.54,87.64,90,3.55,Good
1.95,72.68,59,0.43,Poor
2.28,75.72,63,3.7,Average
2.66,85.67,63,3.2,Average
7.41,91.84,86,4.37,Good
3.88,88.48,75,3.98,Good
1.68,73.65,62,2.74,Average
3.55,82.85,71,1.54,Average
2.67,95.35,72,4.76,Good
3.9,71.54,56,0.6,Average
3.48,89.42,81,3.84,Average
6.25,91.18,82,5.45,Good
3.53,98.68,73,5.31,Good
5.62,88.61,84,2.84,Good
6.18,96.13,90,4.02,Good
2.83,84.79,58,1.89,Average
2.61,70.22,35,1.13,Poor
1.98,94.07,61,2.15,Average
5.06,73.46,65,3.41,Average
5.38,90.45,82,4.49,Good
0.8,67.82,59,1.38,Poor
5.23,86.51,70,5.52,Good
5.4,100.0,76,4.36,Good
5.84,96.55,87,3.32,Good
2.14,84.66,70,2.48,Average
2.12,79.86,63,1.34,Average
5.59,91.17,84,4.44,Good
3.78,93.83,84,5.82,Good
1.6,60.81,57,0.0,Poor
6.82,84.59,94,3.75,Good
1.96,58.09,31,0.1,Poor
1.97,60.77,41,0.36,Poor
1.21,69.74,63,0.79,Average
5.05,84.77,83,3.3,Good
1.58,80.77,76,2.14,Average
1.28,71.6,60,0.0,Poor
5.52,95.57,83,3.97,Good
3.35,83.98,42,2.6,Average
5.71,90.02,87,3.35,Good
6.16,89.22,71,4.83,Good
6.05,88.56,76,3.36,Good
2.57,93.79,59,3.3,Average
5.13,90.76,74,5.29,Good
